"WALKING" "WALKING_UPSTAIRS" "WALKING_DOWNSTAIRS" "SITTING" "STANDING" "LAYING"
"fBodyAccJerk-std()-Z" "-0.7920383" "-0.8004331" "-0.7737819" "-0.7823882" "-0.7902150" "-0.7503253"
"fBodyGyro-mean()-X" "-0.7021238" "-0.6822592" "-0.6887591" "-0.6791966" "-0.6538136" "-0.6367991"
"fBodyGyro-mean()-Y" "-0.7485050" "-0.7183513" "-0.7300593" "-0.6872349" "-0.7221212" "-0.6436329"
"fBodyGyro-mean()-Z" "-0.7048178" "-0.6545853" "-0.6882839" "-0.6396109" "-0.6365072" "-0.5620714"
"fBodyGyro-std()-X" "-0.7576504" "-0.7390203" "-0.7501434" "-0.7465616" "-0.7290896" "-0.7150619"
"fBodyGyro-std()-Y" "-0.7358708" "-0.6549500" "-0.7050328" "-0.6569169" "-0.6981211" "-0.6050487"
"fBodyGyro-std()-Z" "-0.7374663" "-0.6789069" "-0.7211228" "-0.6932083" "-0.6951747" "-0.6286135"
"fBodyAccMag-mean()" "-0.6245638" "-0.6015588" "-0.6260595" "-0.5909277" "-0.5701082" "-0.5213888"
"fBodyAccMag-std()" "-0.6916372" "-0.6616613" "-0.6900874" "-0.6654401" "-0.6593530" "-0.6020735"
"fBodyBodyAccJerkMag-mean()" "-0.6605002" "-0.6417583" "-0.6641893" "-0.6247741" "-0.5868168" "-0.5672389"
"fBodyBodyAccJerkMag-std()" "-0.6820078" "-0.6626935" "-0.6785310" "-0.6363481" "-0.6026559" "-0.5972570"
"fBodyBodyGyroMag-mean()" "-0.7475674" "-0.7176184" "-0.7041668" "-0.6845030" "-0.7048048" "-0.6365969"
"fBodyBodyGyroMag-std()" "-0.7509895" "-0.6878525" "-0.7087182" "-0.6938627" "-0.7136920" "-0.6502365"
"fBodyBodyGyroJerkMag-mean()" "-0.8160093" "-0.8137304" "-0.7847118" "-0.7646852" "-0.7807908" "-0.7298978"
"fBodyBodyGyroJerkMag-std()" "-0.8311290" "-0.8251653" "-0.7884289" "-0.7765655" "-0.7937273" "-0.7470039"
